Linea;Partida;Dias;Hora;Minuto;Recorrido
Linea 101 Barrio Obrero - Aduana;B. Obrero;lunes;6;30;Ida: R. Nolla, Ayacucho, Proy. 89, Parana, E. Chaplin, R. Argentina, Bulevar, Florida, Z. Michelini, Avda. Brasil, Garzon. 
Linea 101 Barrio Obrero - Aduana;B. Obrero;lunes;7;0;Ida: R. Nolla, Ayacucho, Proy. 89, Parana, E. Chaplin, R. Argentina, Bulevar, Florida, Z. Michelini, Avda. Brasil, Garzon. 
Linea 101 Barrio Obrero - Aduana;B. Obrero;lunes;7;30;Ida: R. Nolla, Ayacucho, Proy. 89, Parana, E. Chaplin, R. Argentina, Bulevar, Florida, Z. Michelini, Avda. Brasil, Garzon. 
Linea 101 Barrio Obrero - Aduana;B. Obrero;lunes;8;0;Ida: R. Nolla, Ayacucho, Proy. 89, Parana, E. Chaplin, R. Argentina, Bulevar, Florida, Z. Michelini, Avda. Brasil, Garzon. 
Linea 101 Barrio Obrero - Aduana;B. Obrero;lunes;8;30;Ida: R. Nolla, Ayacucho, Proy. 89, Parana, E. Chaplin, R. Argentina, Bulevar, Florida, Z. Michelini, Avda. Brasil, Garzon. 
Linea 101 Barrio Obrero - Aduana;B. Obrero;lunes;9;0;Ida: R. Nolla, Ayacucho, Proy. 89, Parana, E. Chaplin, R. Argentina, Bulevar, Florida, Z. Michelini, Avda. Brasil, Garzon. 
Linea 101 Barrio Obrero - Aduana;B. Obrero;lunes;9;30;Ida: R. Nolla, Ayacucho, Proy. 89, Parana, E. Chaplin, R. Argentina, Bulevar, Florida, Z. Michelini, Avda. Brasil, Garzon. 
Linea 101 Barrio Obrero - Aduana;B. Obrero;lunes;10;0;Ida: R. Nolla, Ayacucho, Proy. 89, Parana, E. Chaplin, R. Argentina, Bulevar, Florida, Z. Michelini, Avda. Brasil, Garzon. 
Linea 101 Barrio Obrero - Aduana;B. Obrero;lunes;10;30;Ida: R. Nolla, Ayacucho, Proy. 89, Parana, E. Chaplin, R. Argentina, Bulevar, Florida, Z. Michelini, Avda. Brasil, Garzon. 
Linea 101 Barrio Obrero - Aduana;B. Obrero;lunes;11;0;Ida: R. Nolla, Ayacucho, Proy. 89, Parana, E. Chaplin, R. Argentina, Bulevar, Florida, Z. Michelini, Avda. Brasil, Garzon. 
Linea 101 Barrio Obrero - Aduana;B. Obrero;lunes;11;30;Ida: R. Nolla, Ayacucho, Proy. 89, Parana, E. Chaplin, R. Argentina, Bulevar, Florida, Z. Michelini, Avda. Brasil, Garzon. 
Linea 101 Barrio Obrero - Aduana;B. Obrero;lunes;12;0;Ida: R. Nolla, Ayacucho, Proy. 89, Parana, E. Chaplin, R. Argentina, Bulevar, Florida, Z. Michelini, Avda. Brasil, Garzon. 
Linea 101 Barrio Obrero - Aduana;B. Obrero;lunes;12;30;Ida: R. Nolla, Ayacucho, Proy. 89, Parana, E. Chaplin, R. Argentina, Bulevar, Florida, Z. Michelini, Avda. Brasil, Garzon. 
Linea 101 Barrio Obrero - Aduana;B. Obrero;lunes;13;0;Ida: R. Nolla, Ayacucho, Proy. 89, Parana, E. Chaplin, R. Argentina, Bulevar, Florida, Z. Michelini, Avda. Brasil, Garzon. 
Linea 101 Barrio Obrero - Aduana;B. Obrero;lunes;13;30;Ida: R. Nolla, Ayacucho, Proy. 89, Parana, E. Chaplin, R. Argentina, Bulevar, Florida, Z. Michelini, Avda. Brasil, Garzon. 
Linea 101 Barrio Obrero - Aduana;B. Obrero;lunes;14;0;Ida: R. Nolla, Ayacucho, Proy. 89, Parana, E. Chaplin, R. Argentina, Bulevar, Florida, Z. Michelini, Avda. Brasil, Garzon. 
Linea 101 Barrio Obrero - Aduana;B. Obrero;lunes;14;30;Ida: R. Nolla, Ayacucho, Proy. 89, Parana, E. Chaplin, R. Argentina, Bulevar, Florida, Z. Michelini, Avda. Brasil, Garzon. 
Linea 101 Barrio Obrero - Aduana;B. Obrero;lunes;15;0;Ida: R. Nolla, Ayacucho, Proy. 89, Parana, E. Chaplin, R. Argentina, Bulevar, Florida, Z. Michelini, Avda. Brasil, Garzon. 
Linea 101 Barrio Obrero - Aduana;B. Obrero;lunes;15;30;Ida: R. Nolla, Ayacucho, Proy. 89, Parana, E. Chaplin, R. Argentina, Bulevar, Florida, Z. Michelini, Avda. Brasil, Garzon. 
Linea 101 Barrio Obrero - Aduana;B. Obrero;lunes;16;0;Ida: R. Nolla, Ayacucho, Proy. 89, Parana, E. Chaplin, R. Argentina, Bulevar, Florida, Z. Michelini, Avda. Brasil, Garzon. 
Linea 101 Barrio Obrero - Aduana;B. Obrero;lunes;16;30;Ida: R. Nolla, Ayacucho, Proy. 89, Parana, E. Chaplin, R. Argentina, Bulevar, Florida, Z. Michelini, Avda. Brasil, Garzon. 
Linea 101 Barrio Obrero - Aduana;B. Obrero;lunes;17;0;Ida: R. Nolla, Ayacucho, Proy. 89, Parana, E. Chaplin, R. Argentina, Bulevar, Florida, Z. Michelini, Avda. Brasil, Garzon. 
Linea 101 Barrio Obrero - Aduana;B. Obrero;lunes;17;30;Ida: R. Nolla, Ayacucho, Proy. 89, Parana, E. Chaplin, R. Argentina, Bulevar, Florida, Z. Michelini, Avda. Brasil, Garzon. 
Linea 101 Barrio Obrero - Aduana;B. Obrero;lunes;18;0;Ida: R. Nolla, Ayacucho, Proy. 89, Parana, E. Chaplin, R. Argentina, Bulevar, Florida, Z. Michelini, Avda. Brasil, Garzon. 
Linea 101 Barrio Obrero - Aduana;B. Obrero;lunes;18;30;Ida: R. Nolla, Ayacucho, Proy. 89, Parana, E. Chaplin, R. Argentina, Bulevar, Florida, Z. Michelini, Avda. Brasil, Garzon. 
Linea 101 Barrio Obrero - Aduana;B. Obrero;lunes;19;0;Ida: R. Nolla, Ayacucho, Proy. 89, Parana, E. Chaplin, R. Argentina, Bulevar, Florida, Z. Michelini, Avda. Brasil, Garzon. 
Linea 101 Barrio Obrero - Aduana;B. Obrero;lunes;19;30;Ida: R. Nolla, Ayacucho, Proy. 89, Parana, E. Chaplin, R. Argentina, Bulevar, Florida, Z. Michelini, Avda. Brasil, Garzon. 
Linea 101 Barrio Obrero - Aduana;B. Obrero;lunes;20;0;Ida: R. Nolla, Ayacucho, Proy. 89, Parana, E. Chaplin, R. Argentina, Bulevar, Florida, Z. Michelini, Avda. Brasil, Garzon. 
Linea 101 Barrio Obrero - Aduana;B. Obrero;lunes;20;30;Ida: R. Nolla, Ayacucho, Proy. 89, Parana, E. Chaplin, R. Argentina, Bulevar, Florida, Z. Michelini, Avda. Brasil, Garzon. 
Linea 101 Barrio Obrero - Aduana;B. Obrero;lunes;21;0;Ida: R. Nolla, Ayacucho, Proy. 89, Parana, E. Chaplin, R. Argentina, Bulevar, Florida, Z. Michelini, Avda. Brasil, Garzon. 
Linea 101 Barrio Obrero - Aduana;B. Obrero;lunes;21;30;Ida: R. Nolla, Ayacucho, Proy. 89, Parana, E. Chaplin, R. Argentina, Bulevar, Florida, Z. Michelini, Avda. Brasil, Garzon. 
